Camera Number,Latitude,Longitude,Main Road,Cross Street,Group, Traffic Image , North Reference Static Image , South Reference Static Image , East Reference Static Image , West Reference Static Image
Camera8090,43.737183,-79.343926,DON MILLS RD,LAWRENCE AVE E,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8090.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8090n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8090s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8090e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8090w.jpg
Camera8091,43.755906,-79.347475,DON MILLS RD,YORK MILLS RD,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8091.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8091n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8091s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8091e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8091w.jpg
Camera8092,43.774962,-79.346915,SHEPPARD AVE E,DON MILLS RD,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8092.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8092n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8092s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8092e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8092w.jpg
Camera8093,43.792707,-79.355251,DON MILLS RD,FINCH AVE E,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8093.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8093n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8093s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8093e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8093w.jpg
Camera8094,43.811205,-79.361244,DON MILLS RD,STEELES AVE E,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8094.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8094n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8094s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8094e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8094w.jpg
Camera8095,43.81365,-79.348998,STEELES AVE E,WOODBINE AVE,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8095.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8095n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8095s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8095e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8095w.jpg
Camera8096,43.75309,-79.360397,LESLIE ST,YORK MILLS RD,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8096.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8096n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8096s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8096e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8096w.jpg
Camera8097,43.763887,-79.361792,LESLIE ST,401 C E LESLIE ST RAMP / LESMILL RD,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8097.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8097n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8097s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8097e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8097w.jpg
Camera8098,43.771865,-79.364108,SHEPPARD AVE E,LESLIE ST,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8098.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8098n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8098s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8098e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8098w.jpg
Camera8099,43.683129,-79.366051,BAYVIEW AVE,POTTERY RD / PRIVATE ACCESS,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8099.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8099n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8099s.jpg ,  , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8099w.jpg
