"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Memphis, TN-MS-AR","32820",2018,90,85,5,0,0,0,0,67,47,36,0,6,50,0,34,0
"Miami, OK","33060",2018,90,82,8,0,0,0,0,84,49,33,0,0,63,0,27,0
"Miami-Fort Lauderdale-West Palm Beach, FL","33100",2018,90,70,20,0,0,0,0,87,58,40,0,7,56,0,27,0
"Michigan City-La Porte, IN","33140",2018,67,63,4,0,0,0,0,64,43,30,0,0,52,0,15,0
"Milwaukee-Waukesha-West Allis, WI","33340",2018,38,29,9,0,0,0,0,71,61,38,0,2,4,0,25,7
"Minneapolis-St. Paul-Bloomington, MN-WI","33460",2018,90,50,40,0,0,0,0,79,65,49,0,0,0,0,90,0
"Minot, ND","33500",2018,87,78,9,0,0,0,0,84,52,38,0,0,69,0,18,0
"Mobile, AL","33660",2018,59,55,4,0,0,0,0,53,38,17,0,0,0,20,39,0
"Monroe, LA","33740",2018,120,116,4,0,0,0,0,58,45,36,0,0,111,0,9,0
"Monroe, MI","33780",2018,15,15,0,0,0,0,0,45,36,9,0,0,0,0,0,15
"Montrose, CO","33940",2018,73,73,0,0,0,0,0,47,43,36,0,0,73,0,0,0
"Morehead City, NC","33980",2018,59,59,0,0,0,0,0,44,40,33,0,0,59,0,0,0
"Morgantown, WV","34060",2018,57,57,0,0,0,0,0,44,40,29,0,0,30,27,0,0
"Moses Lake, WA","34180",2018,31,28,3,0,0,0,0,57,39,21,0,5,0,0,26,0
"Mount Vernon, IL","34500",2018,88,75,13,0,0,0,0,84,55,38,0,0,21,0,67,0
"Mount Vernon, OH","34540",2018,31,31,0,0,0,0,0,46,44,39,0,0,31,0,0,0
"Mount Vernon-Anacortes, WA","34580",2018,31,31,0,0,0,0,0,31,23,12,0,0,0,0,31,0
"Muncie, IN","34620",2018,89,82,6,1,0,0,0,113,45,31,0,0,76,0,13,0
"Muscatine, IA","34700",2018,120,79,41,0,0,0,0,76,63,45,0,0,0,2,118,0
"Muskogee, OK","34780",2018,90,81,8,1,0,0,0,101,51,17,0,0,0,17,0,73
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","34820",2018,120,103,16,1,0,0,0,116,62,38,0,0,106,14,0,0
"Napa, CA","34900",2018,59,22,37,0,0,0,0,89,72,54,0,0,2,0,57,0
"New Castle, IN","35220",2018,30,25,4,1,0,0,0,111,61,27,0,0,0,0,30,0
"New Orleans-Metairie, LA","35380",2018,120,84,35,1,0,0,0,110,64,44,0,0,73,9,38,0
"New York-Newark-Jersey City, NY-NJ-PA","35620",2018,90,50,40,0,0,0,0,80,63,48,0,10,23,0,57,0
"Nogales, AZ","35700",2018,89,61,27,0,1,0,0,183,64,39,0,0,0,0,50,39
"Ogden-Clearfield, UT","36260",2018,120,91,28,1,0,0,0,115,64,44,0,22,73,0,20,5
"Ogdensburg-Massena, NY","36300",2018,90,66,18,6,0,0,0,108,96,26,0,0,0,90,0,0
"Oklahoma City, OK","36420",2018,90,60,30,0,0,0,0,90,61,44,0,3,31,0,54,2
"Olympia-Tumwater, WA","36500",2018,9,9,0,0,0,0,0,16,16,8,0,0,0,0,9,0
"Omaha-Council Bluffs, NE-IA","36540",2018,120,75,45,0,0,0,0,87,62,47,0,0,43,0,74,3
"Othello, WA","36830",2018,31,31,0,0,0,0,0,45,26,10,0,0,0,0,31,0
"Ottawa-Peru, IL","36860",2018,90,90,0,0,0,0,0,33,4,1,0,0,0,90,0,0
"Oxnard-Thousand Oaks-Ventura, CA","37100",2018,90,72,18,0,0,0,0,94,63,44,0,1,52,0,35,2
"Parkersburg-Vienna, WV","37620",2018,88,87,1,0,0,0,0,57,37,11,0,0,31,57,0,0
"Payson, AZ","37740",2018,90,34,33,20,3,0,0,181,126,64,0,0,29,57,0,4
"Peoria, IL","37900",2018,90,60,30,0,0,0,0,76,62,43,0,0,26,0,64,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","37980",2018,90,65,25,0,0,0,0,77,59,42,0,1,40,1,48,0
"Phoenix-Mesa-Scottsdale, AZ","38060",2018,90,17,71,1,0,1,0,249,80,62,0,6,21,0,26,37
"Pittsburgh, PA","38300",2018,90,53,35,2,0,0,0,125,84,46,0,1,27,13,49,0
"Pittsfield, MA","38340",2018,90,77,13,0,0,0,0,73,58,29,0,0,0,0,90,0
"Platteville, WI","38420",2018,31,22,9,0,0,0,0,65,55,42,0,0,0,0,31,0
"Pocatello, ID","38540",2018,120,120,0,0,0,0,0,50,28,12,0,0,0,0,74,46
"Point Pleasant, WV-OH","38580",2018,120,118,2,0,0,0,0,61,26,4,0,0,0,120,0,0
"Ponca City, OK","38620",2018,90,69,20,1,0,0,0,107,57,39,0,0,0,2,88,0
"Port Angeles, WA","38820",2018,31,19,12,0,0,0,0,63,58,45,0,0,9,0,22,0
"Portland-South Portland, ME","38860",2018,120,97,23,0,0,0,0,93,54,43,0,9,89,0,20,2
"Portland-Vancouver-Hillsboro, OR-WA","38900",2018,31,26,4,1,0,0,0,103,56,19,0,0,0,0,31,0
"Portsmouth, OH","39020",2018,90,87,3,0,0,0,0,82,33,11,0,0,0,22,25,43
"Prescott, AZ","39140",2018,90,90,0,0,0,0,0,50,46,39,0,0,90,0,0,0
"Price, UT","39220",2018,90,87,3,0,0,0,0,54,49,41,0,0,90,0,0,0
"Providence-Warwick, RI-MA","39300",2018,90,74,16,0,0,0,0,75,55,42,0,2,54,0,34,0
"Provo-Orem, UT","39340",2018,120,108,12,0,0,0,0,74,51,36,0,10,58,0,48,4
