"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Cadillac, MI","15620",2018,58,58,0,0,0,0,0,44,40,36,0,0,58,0,0,0
"Cambridge, MD","15700",2018,90,86,4,0,0,0,0,59,44,35,0,0,77,0,13,0
"Canton-Massillon, OH","15940",2018,90,69,21,0,0,0,0,82,61,41,1,0,25,0,64,0
"Casper, WY","16220",2018,30,30,0,0,0,0,0,35,20,11,0,0,0,0,26,4
"Ca¤on City, CO","15860",2018,9,9,0,0,0,0,0,20,20,13,0,0,0,0,0,9
"Cedar City, UT","16260",2018,91,91,0,0,0,0,0,48,44,29,0,1,54,0,36,0
"Cedar Rapids, IA","16300",2018,120,91,29,0,0,0,0,97,60,43,0,0,49,2,69,0
"Centralia, WA","16500",2018,31,29,2,0,0,0,0,60,47,19,0,0,0,0,31,0
"Champaign-Urbana, IL","16580",2018,90,80,10,0,0,0,0,67,53,38,0,0,46,0,44,0
"Charleston, WV","16620",2018,90,77,13,0,0,0,0,67,52,42,0,0,28,0,62,0
"Charleston-North Charleston, SC","16700",2018,120,107,13,0,0,0,0,76,51,39,0,3,91,0,26,0
"Charlotte-Concord-Gastonia, NC-SC","16740",2018,120,89,31,0,0,0,0,79,60,44,0,1,70,0,49,0
"Charlottesville, VA","16820",2018,20,20,0,0,0,0,0,48,45,29,0,0,0,0,20,0
"Chattanooga, TN-GA","16860",2018,69,51,18,0,0,0,0,64,57,40,0,0,0,0,69,0
"Cheyenne, WY","16940",2018,30,29,1,0,0,0,0,53,24,12,0,0,0,0,26,4
"Chicago-Naperville-Elgin, IL-IN-WI","16980",2018,90,34,56,0,0,0,0,89,74,53,0,17,14,0,57,2
"Cincinnati, OH-KY-IN","17140",2018,90,62,28,0,0,0,0,89,63,45,0,7,28,1,54,0
"Claremont-Lebanon, NH-VT","17200",2018,59,59,0,0,0,0,0,46,38,34,0,0,59,0,0,0
"Clarksville, TN-KY","17300",2018,58,58,0,0,0,0,0,49,39,31,0,0,58,0,0,0
"Cleveland-Elyria, OH","17460",2018,90,54,36,0,0,0,0,91,66,44,0,5,34,0,49,2
"Clinton, IA","17540",2018,120,71,49,0,0,0,0,84,65,47,0,0,39,0,81,0
"Colorado Springs, CO","17820",2018,90,82,8,0,0,0,0,70,50,43,0,0,80,0,10,0
"Columbia, SC","17900",2018,120,90,30,0,0,0,0,92,59,43,0,0,65,0,55,0
"Columbus, GA-AL","17980",2018,59,35,24,0,0,0,0,84,63,45,0,0,0,0,59,0
"Columbus, IN","18020",2018,90,81,8,1,0,0,0,102,52,37,0,0,59,0,31,0
"Columbus, OH","18140",2018,90,71,19,0,0,0,0,78,59,39,0,16,28,0,46,0
"Corning, NY","18500",2018,87,86,1,0,0,0,0,53,38,2,47,0,25,4,11,0
"Craig, CO","18780",2018,89,89,0,0,0,0,0,48,44,40,0,0,89,0,0,0
"Cullowhee, NC","19000",2018,14,11,3,0,0,0,0,66,59,30,0,0,0,0,14,0
"Cumberland, MD-WV","19060",2018,90,53,17,11,9,0,0,200,152,23,0,0,0,90,0,0
"Davenport-Moline-Rock Island, IA-IL","19340",2018,120,53,67,0,0,0,0,87,67,52,0,0,17,0,89,14
"Dayton, OH","19380",2018,90,69,20,1,0,0,0,107,58,41,0,0,42,0,48,0
"Decatur, AL","19460",2018,59,54,5,0,0,0,0,56,50,29,0,0,0,0,59,0
"Decatur, IL","19500",2018,90,62,28,0,0,0,0,77,62,41,0,0,23,1,66,0
"Deming, NM","19700",2018,120,113,6,1,0,0,0,137,38,19,0,0,0,0,0,120
"Denver-Aurora-Lakewood, CO","19740",2018,108,49,54,5,0,0,0,128,72,51,0,37,27,0,26,18
"Des Moines-West Des Moines, IA","19780",2018,120,92,28,0,0,0,0,87,60,41,0,1,69,0,50,0
"Detroit-Warren-Dearborn, MI","19820",2018,90,85,4,1,0,0,0,106,47,32,0,37,0,9,1,43
"Dickinson, ND","19860",2018,87,86,1,0,0,0,0,51,44,37,0,0,58,0,29,0
"Dover, DE","20100",2018,90,86,4,0,0,0,0,54,44,36,0,0,63,0,27,0
"Duluth, MN-WI","20260",2018,90,83,7,0,0,0,0,61,49,39,0,0,74,0,16,0
"Durango, CO","20420",2018,120,102,18,0,0,0,0,93,58,44,0,1,115,0,2,2
"Durant, OK","20460",2018,46,41,5,0,0,0,0,77,51,40,0,0,46,0,0,0
"Durham-Chapel Hill, NC","20500",2018,90,79,11,0,0,0,0,60,52,33,0,0,0,2,87,1
"Eau Claire, WI","20740",2018,31,20,11,0,0,0,0,68,55,45,0,0,0,0,31,0
"Effingham, IL","20820",2018,31,31,0,0,0,0,0,49,45,39,0,0,31,0,0,0
"El Dorado, AR","20980",2018,90,79,11,0,0,0,0,66,54,34,0,0,0,0,90,0
"Elkhart-Goshen, IN","21140",2018,69,59,10,0,0,0,0,84,56,33,0,0,32,0,37,0
"Ellensburg, WA","21260",2018,31,26,5,0,0,0,0,60,55,28,0,0,0,0,31,0
"Enid, OK","21420",2018,90,88,2,0,0,0,0,61,23,0,0,0,0,90,0,0
"Eureka-Arcata-Fortuna, CA","21700",2018,88,86,2,0,0,0,0,53,38,29,0,3,64,0,15,6
"Evansville, IN-KY","21780",2018,90,77,13,0,0,0,0,83,54,38,0,0,56,0,34,0
"Fargo, ND-MN","22020",2018,87,79,8,0,0,0,0,80,50,38,0,4,48,0,35,0
"Farmington, NM","22140",2018,90,90,0,0,0,0,0,48,46,40,0,0,90,0,0,0
"Fayetteville, NC","22180",2018,87,76,11,0,0,0,0,72,53,28,0,0,0,0,86,1
"Fayetteville-Springdale-Rogers, AR-MO","22220",2018,90,72,18,0,0,0,0,87,59,38,0,0,57,0,33,0
"Flagstaff, AZ","22380",2018,90,89,1,0,0,0,0,61,47,43,0,0,90,0,0,0
"Flint, MI","22420",2018,1,1,0,0,0,0,0,25,25,25,0,0,0,0,1,0
"Florence, SC","22500",2018,120,107,13,0,0,0,0,66,51,38,0,0,58,0,62,0
"Fort Collins, CO","22660",2018,95,85,10,0,0,0,0,98,51,46,0,0,75,0,15,5
"Fort Madison-Keokuk, IA-IL-MO","22800",2018,30,21,9,0,0,0,0,76,63,35,0,0,0,0,30,0
"Fort Payne, AL","22840",2018,58,58,0,0,0,0,0,44,37,31,0,0,58,0,0,0
"Fort Smith, AR-OK","22900",2018,30,23,7,0,0,0,0,67,59,31,0,0,0,0,30,0
"Fort Wayne, IN","23060",2018,69,45,24,0,0,0,0,81,64,40,0,0,14,0,55,0
"Fresno, CA","23420",2018,120,88,29,3,0,0,0,128,74,43,0,0,90,0,30,0
"Gadsden, AL","23460",2018,59,27,31,0,1,0,0,153,62,52,0,0,0,0,59,0
"Gainesville, GA","23580",2018,48,43,5,0,0,0,0,55,51,29,0,0,0,0,48,0
"Georgetown, SC","23860",2018,108,108,0,0,0,0,0,44,29,15,0,0,0,0,0,108
"Gettysburg, PA","23900",2018,53,53,0,0,0,0,0,41,38,31,0,0,53,0,0,0
"Gillette, WY","23940",2018,90,89,1,0,0,0,0,76,20,12,0,0,0,0,0,90
